model,phase,median_s,min_s,max_s,repetitions,note,python,platform,processor,torch,torch_threads,cuda_available,numpy,pandas,area
AR,training,0.002665349980816245,0.001798899844288826,0.008026499766856432,200,np.linalg.lstsq on the prebuilt design matrix; many repeats because one fit takes only a few milliseconds,3.13.1,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 154 Stepping 4, GenuineIntel",2.14.0+cpu,10,False,2.5.3,3.0.5,5161
AR,inference_1008,0.007480999920517206,0.006948799826204777,0.008451899979263544,5,"1,008 separate row-vector dot products; design matrix built outside the timer",3.13.1,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 154 Stepping 4, GenuineIntel",2.14.0+cpu,10,False,2.5.3,3.0.5,5161
LSTM,training,72.26170800020918,71.46982209989801,78.81889399979264,3,model creation + optimiser + training loop + early stopping + best-weight restore; tensors and loader prepared outside the timer,3.13.1,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 154 Stepping 4, GenuineIntel",2.14.0+cpu,10,False,2.5.3,3.0.5,5161
LSTM,inference_1008,1.639409499708563,1.6340709002688527,1.71913419989869,5,"1,008 separate batch-size-1 forward passes; sequence tensors built outside the timer",3.13.1,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 154 Stepping 4, GenuineIntel",2.14.0+cpu,10,False,2.5.3,3.0.5,5161
TCN,training,393.0186759997159,388.7054486996494,416.5005997000262,3,model creation + optimiser + training loop + early stopping + best-weight restore; tensors and loader prepared outside the timer,3.13.1,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 154 Stepping 4, GenuineIntel",2.14.0+cpu,10,False,2.5.3,3.0.5,5161
TCN,inference_1008,14.044512500055134,13.940507200080901,14.140713199973106,5,"1,008 separate batch-size-1 forward passes; sequence tensors built outside the timer",3.13.1,Windows-11-10.0.26200-SP0,"Intel64 Family 6 Model 154 Stepping 4, GenuineIntel",2.14.0+cpu,10,False,2.5.3,3.0.5,5161
