run_timestamp,experiment_id,model,area,history_or_lags,train_period,validation_period,test_period,evaluated_on,parameters,MAE,RMSE,MAPE,training_time_seconds,inference_time_seconds,observation,next_decision
2026-09-09 22:12:19+0200,BASE-WEEK-TES,Weekly seasonal naive,5259,x(t-1008),n/a (no fitting),2013-12-09 00:00..2013-12-15 23:50,2013-12-16 00:00..2013-12-22 23:50,test,0,210.24099618411023,289.49546435268934,28.56316303692157,0.0,2.0996667444705963e-06,no fitted parameters; x(t-1008),retain as reference for all models
2026-09-09 22:12:19+0200,AR-1,Selected-Lag Autoregressive Model,5161,recent short-term lags (1 hour) | lags=1-6,2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,7,112.03741987346366,166.52682760412873,9.782540112968816,0.0003410000354051,3.719981759786606e-05,cond(X)=7.460e+03 rank=7,compare candidates by mean validation MAE
2026-09-09 22:12:19+0200,AR-1,Selected-Lag Autoregressive Model,5059,recent short-term lags (1 hour) | lags=1-6,2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,7,101.75950134952544,142.3216579747246,8.781062897862553,0.000306200236082,3.71001660823822e-05,cond(X)=7.071e+03 rank=7,compare candidates by mean validation MAE
2026-09-09 22:12:19+0200,AR-1,Selected-Lag Autoregressive Model,5259,recent short-term lags (1 hour) | lags=1-6,2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,7,82.86245147958732,121.18785331974752,7.337159775399374,0.0003030998632311,3.860006108880043e-05,cond(X)=6.714e+03 rank=7,compare candidates by mean validation MAE
2026-09-09 22:12:19+0200,AR-2,Selected-Lag Autoregressive Model,5161,one complete 144-step daily window | lags=1-144,2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,145,107.05406056396946,153.06865972467168,10.283772432643335,0.0349349998869001,0.0011106999590992,cond(X)=1.022e+05 rank=145,compare candidates by mean validation MAE
2026-09-09 22:12:19+0200,AR-2,Selected-Lag Autoregressive Model,5059,one complete 144-step daily window | lags=1-144,2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,145,87.6268134689388,124.5264771264614,7.869609562999832,0.0452127000316977,0.0011726999655365,cond(X)=1.541e+05 rank=145,compare candidates by mean validation MAE
2026-09-09 22:12:19+0200,AR-2,Selected-Lag Autoregressive Model,5259,one complete 144-step daily window | lags=1-144,2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,145,79.92855168810375,115.7706149179582,7.609025238752684,0.052679100073874,0.0011012000031769,cond(X)=5.433e+04 rank=145,compare candidates by mean validation MAE
2026-09-09 22:12:19+0200,AR-3,Selected-Lag Autoregressive Model,5161,"AR-1 short-term lags + selected daily seasonal lags | lags=1,2,3,4,5,6,143,144,145,287,288,289",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,13,106.06415168744006,158.61604577250984,8.49376962360409,0.0007341001182794,4.54997643828392e-05,cond(X)=1.058e+04 rank=13,compare candidates by mean validation MAE
2026-09-09 22:12:19+0200,AR-3,Selected-Lag Autoregressive Model,5059,"AR-1 short-term lags + selected daily seasonal lags | lags=1,2,3,4,5,6,143,144,145,287,288,289",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,13,93.8715312648363,135.33901035771586,7.98228429382371,0.000673099886626,4.430022090673447e-05,cond(X)=1.019e+04 rank=13,compare candidates by mean validation MAE
2026-09-09 22:12:19+0200,AR-3,Selected-Lag Autoregressive Model,5259,"AR-1 short-term lags + selected daily seasonal lags | lags=1,2,3,4,5,6,143,144,145,287,288,289",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,13,81.50641639291459,117.94533958348894,7.532878134155771,0.000643900129944,4.529999569058418e-05,cond(X)=1.043e+04 rank=13,compare candidates by mean validation MAE
2026-09-09 22:12:19+0200,AR-4,Selected-Lag Autoregressive Model,5161,"AR-3 + weekly lags | lags=1,2,3,4,5,6,143,144,145,287,288,289,1007,1008,1009",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,16,97.54415285584795,148.72239784110386,7.8694927810087965,0.0014740000478923,4.900014027953148e-05,cond(X)=1.186e+04 rank=16,compare candidates by mean validation MAE
2026-09-09 22:12:19+0200,AR-4,Selected-Lag Autoregressive Model,5059,"AR-3 + weekly lags | lags=1,2,3,4,5,6,143,144,145,287,288,289,1007,1008,1009",2013-11-01 00:00..2013-12-08 23:50,2013-12-09 00:00..2013-12-15 23:50,not evaluated at this step,validation,16,90.62954876320904,134.3330547585817,7.277814870120887,0.0014094999060034,4.970002919435501e-05,cond(X)=1.139e+04 rank=16,compare candidates by mean validation MAE
